Type,Indicator,Souce
domain,netv64-hq0.wisemo.com,original
domain,netv64-hq1.wisemo.com,original
domain,netv6n-hq.wisemo.com,original
domain,netv6n-hq1.wisemo.com,original
domain,shop.wisemo.com,original
domain,skins.wisemo.com,original
domain,skins2.wisemo.com,original
domain,skinsde.wisemo.com,original
domain,smtp-hq.wisemo.com,original
domain,smtp-hq0.wisemo.com,original
domain,smtp-hq2.wisemo.com,original
domain,support.wisemo.com,original
domain,wisemo.com,original
domain,www-hq.wisemo.com,original
domain,www-hq0.wisemo.com,original
domain,www-hq2.wisemo.com,original
domain,www.wisemo.com,original
domain,ixnore.xnore.com,original
domain,ns1.xnore.com,original
domain,ns2.xnore.com,original
domain,www.ixnore.xnore.com,original
domain,www.xnore.com,original
domain,xnore.com,original
domain,bin5y4muil.execute-api.us-east-1.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,8balwalz1i.execute-api.us-east-2.amazonaws.com,https://github.com/craiu/mobiletrackers
domain,api.smartechmetrics.com,https://github.com/craiu/mobiletrackers
domain,ck-running-apps-700f1.firebaseio.com,https://github.com/craiu/mobiletrackers
domain,pie.wirelessregistry.com,https://github.com/craiu/mobiletrackers
domain,udata.elephantdata.net,https://github.com/craiu/mobiletrackers
domain,atb.bearclod.com,https://github.com/craiu/mobiletrackers
domain,alb.bearclod.com,https://github.com/craiu/mobiletrackers
domain,aly.bearclod.com,https://github.com/craiu/mobiletrackers
domain,alz.bearclod.com,https://github.com/craiu/mobiletrackers
domain,atb.bearclod.com,https://github.com/craiu/mobiletrackers
domain,bivitis.bearclod.com,https://github.com/craiu/mobiletrackers
domain,brt.bearclod.com,https://github.com/craiu/mobiletrackers
domain,brul.bearclod.com,https://github.com/craiu/mobiletrackers
domain,hfstat.bearclod.com,https://github.com/craiu/mobiletrackers
domain,hkn01.bearclod.com,https://github.com/craiu/mobiletrackers
domain,ply.bearclod.com,https://github.com/craiu/mobiletrackers
domain,zoo.bearclod.com,https://github.com/craiu/mobiletrackers
domain,settings.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,e.crashlytics.com,https://github.com/craiu/mobiletrackers
domain,sdk.starbolt.io,https://github.com/craiu/mobiletrackers
domain,dmp.starbolt.io,https://github.com/craiu/mobiletrackers
domain,devices.starbolt.io,https://github.com/craiu/mobiletrackers
domain,android-quinoa-config-prod.sense360eng.com,https://github.com/craiu/mobiletrackers
domain,survey-notify-event.sense360eng.com,https://github.com/craiu/mobiletrackers
domain,quinoa-personal-identify-prod.sense360eng.com,https://github.com/craiu/mobiletrackers
domain,app-measurement.com,https://github.com/craiu/mobiletrackers
domain,mobile-collector.newrelic.com,https://github.com/craiu/mobiletrackers
domain,mobile-crash.newrelic.com,https://github.com/craiu/mobiletrackers
domain,data.mistat.india.xiaomi.com,https://github.com/craiu/mobiletrackers
domain,data.mistat.intl.xiaomi.com,https://github.com/craiu/mobiletrackers
domain,data.mistat.rus.xiaomi.com,https://github.com/craiu/mobiletrackers
domain,tracking.rus.miui.com,https://github.com/craiu/mobiletrackers
domain,tracking.intl.miui.com,https://github.com/craiu/mobiletrackers
domain,tracking.india.miui.com,https://github.com/craiu/mobiletrackers
domain,sa.api.intl.miui.com,https://github.com/craiu/mobiletrackers
domain,sa.api.india.miui.com,https://github.com/craiu/mobiletrackers
domain,sa.api.rus.miui.com,https://github.com/craiu/mobiletrackers
domain,api.myendpoint.io,https://github.com/craiu/mobiletrackers
domain,ti.domainforlite.com,https://github.com/craiu/mobiletrackers
domain,uu.domainforlite.com,https://github.com/craiu/mobiletrackers
domain,adserver.hahamobi.com,https://github.com/craiu/mobiletrackers
domain,analytics.hahamobi.com,https://github.com/craiu/mobiletrackers
domain,analytics.salmonads.com,https://github.com/craiu/mobiletrackers
domain,api.salmonads.com,https://github.com/craiu/mobiletrackers
domain,dat.funheroic.com,https://github.com/craiu/mobiletrackers
domain,lg.luckyforworlds.com,https://github.com/craiu/mobiletrackers
domain,lg.requestads.com,https://github.com/craiu/mobiletrackers
domain,lg.smardroid.com,https://github.com/craiu/mobiletrackers
domain,log.adywind.com,https://github.com/craiu/mobiletrackers
domain,log.mobpowertech.com,https://github.com/craiu/mobiletrackers
domain,net.hahamobi.com,https://github.com/craiu/mobiletrackers
domain,net.salmonads.com,https://github.com/craiu/mobiletrackers
domain,us01.salmonads.com,https://github.com/craiu/mobiletrackers
domain,uu.domainforlite.com,https://github.com/craiu/mobiletrackers
domain,www.ywupscsff.com,https://github.com/craiu/mobiletrackers
domain,www.mzeibiyr.com,https://github.com/craiu/mobiletrackers
domain,i151125.infourl.net,https://github.com/craiu/mobiletrackers
domain,www.jueoxdr.com,https://github.com/craiu/mobiletrackers
domain,ufz.doesxyz.com,https://github.com/craiu/mobiletrackers
domain,htapi.getapiv8.com,https://github.com/craiu/mobiletrackers
domain,stable.icecyber.org,https://github.com/craiu/mobiletrackers
domain,404mobi.com,https://github.com/craiu/mobiletrackers
domain,51ginkgo.com,https://github.com/craiu/mobiletrackers
domain,lbjg7.com,https://github.com/craiu/mobiletrackers
domain,bigdata800.com,https://github.com/craiu/mobiletrackers
domain,apd1.warnlog.com,https://github.com/craiu/mobiletrackers
domain,apd1.thunup.com,https://github.com/craiu/mobiletrackers
domain,n.systemlog.me,https://github.com/craiu/mobiletrackers
domain,setting.rayjump.com,https://github.com/craiu/mobiletrackers
domain,analytics.rayjump.com,https://github.com/craiu/mobiletrackers
domain,net.cleverjp.com,https://github.com/craiu/mobiletrackers
domain,arcpi.nextialive.roimaster.site,https://github.com/craiu/mobiletrackers
domain,api.nextialive.roimaster.site,https://github.com/craiu/mobiletrackers
domain,ws.nextialive.roimaster.site,https://github.com/craiu/mobiletrackers
domain,nextialive.roimaster.site,https://github.com/craiu/mobiletrackers
domain,api.dev.chat.roimaster.site,https://github.com/craiu/mobiletrackers
domain,dev.chat.roimaster.site,https://github.com/craiu/mobiletrackers
domain,2j1i9uqw.oss-eu-central-1.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,blackdragon03.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,blackdragon.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,fgcxweasqw.oss-eu-central-1.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,jk8681oy.oss-eu-central-1.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,laodaoo.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,laodaoo.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,n47n.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,nineth03.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,proxy48.oss-eu-central-1.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,rinimae.oss-ap-southeast-5.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,sahar.oss-us-east-1.aliyuncs.com,https://github.com/craiu/mobiletrackers
domain,2fapass.club,https://github.com/craiu/mobiletrackers
domain,androidradio.life,https://github.com/craiu/mobiletrackers
domain,downdating.club,https://github.com/craiu/mobiletrackers
domain,fitnessstrategy.xyz,https://github.com/craiu/mobiletrackers
domain,groovefitness.xyz,https://github.com/craiu/mobiletrackers
domain,loversfinder.xyz,https://github.com/craiu/mobiletrackers
domain,positivefitness.club,https://github.com/craiu/mobiletrackers
